,title,link,description,long_description,id,keyword_set
1,whole odisha trembling severe winters yellow warning issued districts meteorological department snowfall koida daringbadi,https://www.newspointapp.com/odia-news/publisher-kanaknews-odia/top-news/articleshow/145048207eb97f903061bbd718a8a970ef3652c3,kanak bureau whole odisha trembling cold mercury dropped degrees normal next two days cold yellow warnings issued odisha districts district administration,,2674,districts meteorological department yellow warning issued severe winters mercury dropped degrees next two days district administration yellow warnings kanak bureau districts
2,sandeepan vimalakant nagar struggling combative cultural worker,https://navbharattimes.indiatimes.com/metro/lucknow/other-news/sandeepan-vimalkant-nagar-was-a-struggling-and-combative-cultural-worker/articleshow/73022935.cms,sandipan awakened play consciousness giving direction artists said senior painter actor rakesh pandey mathura color worker braj speaking,b sandipan awakened play consciousness giving direction artists said senior painter actor rakesh pandey mathura color worker braj speaking,3874,sandeepan vimalakant nagar combative cultural worker mathura color worker consciousness giving direction sandipan awakened actor rakesh pandey speaking senior painter
3,dp rambhrosse,https://maharashtratimes.indiatimes.com/citizen-reporter/aurangabad-local-news/dp-ramvaroshe/articleshow/73023325.cms,,,425,dp rambhrosse
4,whipping nationalism shelf life kamal nath,https://www.newspointapp.com/english-news/publisher-toi/india/whipping-up-nationalism-has-shelf-life-kamal-nath/articleshow/145048200cb2346c5a0d8d7fbe44ecb65284d51c,bhopal widespread protests caa proof indian voters especially youth taken ride longer believes madhya pradesh chief minister kamal nath exclu,bhopal widespread protests caa proof indian voters especially youth taken ride longer believes madhya pradesh chief minister kamal nath exclusive interview toi completion year government nath accused bjp led centre bringing caa nrc divert youth attention economic crisis gripping country economy distress government instead addressing economic crisis sh,5177,shelf life kamal nath indian voters especially widespread protests exclu
5,admitted mulayam singh hospital,https://www.seithisolai.com/mulayam-singh-admitted-in-hospital.php,samajwadi party chief mulayam singh admitted private hospital mumbai due stomach problems samajwadi party founder mulayam singh suddenly,samajwadi party founder mulayam singh admitted private hospital mumbai due stomach problem samajwadi party founder mulayam singh abruptly,3260,mulayam singh hospital suddenly stomach problems private hospital mumbai due
6,new technology center chennai union minister laid foundation stone,https://tamil.webdunia.com/article/regional-tamil-news/central-minister-put-stone-for-new-battery-manufacturing-building-in-chennai-119123000004_1.html,union minister laid foundation stone setting new technology center chennai promote production battery powered vehicles use vehicles according population country,union minister state establishment new technology center chennai promote battery powered vehicle manufacturing use vehicles suit population country,1867,new technology center union minister foundation stone union minister laid new technology center battery powered vehicles vehicles according foundation stone country
7,failure link pan card aadhaar result cancellation,https://www.newspointapp.com/telugu-news/publisher-webdunia-telugu/top-news/articleshow/1450482007046259cf0a35c4c54156d3cd66c1fe,pan card canceled another three days surprised pan card linked aadhaar pan card definitely canceled days left,pancard canceled within three days dont surprised link pan card aadhaar pan card canceled days expire,4988,link pan card days left another three days pan card
8,kids stories, Nursery Rhymes & Baby Songs - 'Krishna And Kaliya ,sri krishna kids nursery story tamil,https timesofindia indiatimes com videos entertainment kids tamil kids stories nursery rhymes baby songs krishna kaliya sri krishna kids nursery story tamil videoshow cms,"""Here's Presenting popular Children Nursery Story 'Krishna And Kaliya ",kids stories
9,tottenham willing offer christian eriksen real madrid swap deal epl transfer news roundup th december,https://www.newspointapp.com/english-news/publisher-sportskeeda/top-news/tottenham-willing-offer-christian-eriksen-real-madrid-swap-deal-more-epl-transfer-news-roundup-30th-december-2019/articleshow/14504820cbdd450bc9083874f53f83d52aeb1ece,norwich city tottenham hotspur premier league hello welcome epl transfer news roundup day top stories day surrounding erling braut haaland joins dortm,norwich city tottenham hotspur premier league hello welcome epl transfer news roundup day top stories day surrounding erling braut haaland joins dortmund borussia dortmund confirmed signing erling braut haaland red bull salzburg youngster linked move manchester united chose join german outfit instead upon joining ruhr outfit haaland thanked salzburg learned austri,2675,offer christian eriksen tottenham willing swap deal real madrid epl transfer news roundup premier league hello top stories day surrounding
10,good news reliance jiofiber users get gb data,https://navbharattimes.indiatimes.com/tech/gadgets-news/reliance-jio-rupees-199-top-up-voucher-offering-1tb-data-with-7-days-of-validity/articleshow/73024124.cms,new delhi reliance good news jiofiber users company offering tb gb data rs top voucher earlier gb data available plan validity plan,new delhi good news reliance jiofiber users company offering tb gb data rs top voucher earlier gb data available plan plans validity,2058,reliance jiofiber users get gb data good news rs top new delhi reliance plan offering tb jiofiber users good news gb data
11,winter chill grips north india dal lake begins freeze,https://economictimes.indiatimes.com/news/politics-and-nation/winter-chill-grips-north-india/himachal-turns-white/slideshow/73004270.cms,business news news politics nation winter chill grips north india winter chill grips north india et online agencies,dec ist dal lake begins freeze kashmir woke,"""Business News › News › Politics and Nation ›Winter chill grips north India Winter chill grips north India ET Online and Agencies",dal lake begins
12,farhan akhtar ranvir shorey town mourns kushal punjabis death,https://timesofindia.indiatimes.com/videos/entertainment/hindi/from-farhan-akhtar-to-ranvir-shorey-bollywood-mournskushal-punjabis-untimely-death/videoshow/73024843.cms,bollywood fraternity friday expressed pain shock news tv actor kushal punjabis untimely death kushal committed suicide home mumbais bandra area late thursday night,bollywood fraternity friday expressed pain shock news tv actor kushal punjabis untimely death kushal committed suicide home mumbais bandra area late thursday night per statement police actor committed suicide hanging fan nylon rope,3875,town mourns kushal punjabi ranvir shorey farhan akhtar tv actor kushal punjabi kushal committed suicide thursday night friday expressed pain bandra area late untimely death bollywood fraternity
13,questions vital questions economy business politics technology,https://www.newspointapp.com/english-news/publisher-et/india/20-questions-for-2020/articleshow/14504820b7af5d1414c09d77045e2098ae4c4e7f,draws end leaves us far questions answers answers questions may become clearer year likely determine india near term futur,draws end leaves us far questions answers answers questions may become clearer year likely determine india near term future et editors picked vital questions economy business politics technology global affairs explored answers may play yes serious stuff et trademark style laid great design peppered fun visuals,0,vital questions questions questions may become clearer term futur determine india leaves us draws
14,government pay special attention education health hemant soren,https://www.newspointapp.com/hindi-news/publisher-vishvatimes-hindi/top-news/articleshow/14504820806e7880bf0c81749e1c135de9b397ef,jharkhand mukti morcha jmm working president hemant soren sworn chief minister state sunday said government would continue emphasize education health sorens main,hemant soren working president jharkhand mukti morcha jmm sworn chief minister state sunday said government continue emphasize education health sorens main,2481,pay special attention hemant soren working president hemant soren jharkhand mukti morcha government would continue main chief minister
15,family finance prabhakaran stagger primary financial goals achieve ease,https://economictimes.indiatimes.com/wealth/plan/family-finance-prabhakaran-should-stagger-primary-financial-goals-to-achieve-them-with-ease/articleshow/73005590.cms,flipboard family finance prabhakaran stagger primary financial goals achieve ease hyderabad based pradeep prabhakaran financial goals include building emergency corpu,flipboard family finance prabhakaran stagger primary financial goals achieve ease hyderabad based pradeep prabhakaran financial goals include building emergency corpus buying house saving child education wedding retirement heres plan financial planner made dec ist comments thinkstock photos prabhakaran first build contingency corpus rs lakh equal six months expenses pradeep prabhakaran software engineer stays homemaker wife six month old child rented house hyderabad brings monthly income rs considering expenses investment left surplus rs portfolio rs lakh includes equity worth rs lakh form stocks mutual funds debt rs lakh form epf fixed deposit debt funds cash rs lakh goals include building emergency corpus buying house saving child education wedding retirement portfolio maalde suggests prabhakaran first build contingency corpus rs lakh equal six months expenses allocating rs lakh cash remaining amount save surplus amount buying property invested liquid ultra short term fund buy house worth rs lakh year wants make payment rs lakh funded allocating fixed deposit debt fund remaining cash remaining rs lakh take loan years result emi rs cash flow child education goal years needs rs lakh build amount allocating stocks worth rs lakh child wedding years wants amass rs lakh start sip rs diversified equity fund since enough surplus currently rise income finally retirement needs rs crore years assign epf equity fund besides start sip rs diversified equity fund sourced surplus since save rent buying property invest goals investment goal begin rise income annual return assumed equity debt funds inflation assumed life insurance ulip worth rs lakh paid single premium maalde suggests stop paying premium plan instead buy rs crore term plan cost rs month health insurance prabhakaran rs lakh family floater plan provided employer taken another rs lakh plan paying rs month maalde suggests buy independent rs lakh family floater plan cost rs month also buy rs lakh accident disability plan come monthly premium rs insurance portfolio since premium paid stopped considered cash flow premiums indicative could vary different insurers financial plan pankaaj maalde certified financial planner write us expert advice looking professional analyse investment portfolio write us etwealth timesgroup com family finances subject experts study portfolio offer objective advice much need invest reach goals,1262,stagger primary financial goals family finance stagger primary financial goals flipboard family finance emergency corpu based pradeep prabhakaran financial goals include building ease hyderabad
16,mumbai cop stops bicycle thief saves day househelp son received gift,https://timesofindia.indiatimes.com/city/mumbai/mumbai-cop-stops-bicycle-thief-saves-the-day-for-househelps-son-who-had-received-a-gift/articleshow/73025191.cms,traffic police constable helped underprivileged boy recover bicycle gifted bandra west saturday,traffic police constable helped underprivileged boy recover bicycle gifted bandra west saturday,4615,househelp traffic police constable helped underprivileged boy recover
