,id,category_tree
0,,nan^Real Estate-->nov ist comments shedding light captain gr go story gopinath spoke rural karnataka
1,3874,Entertainment^Entertainment-->virat kohli understanding caa citizenship amendment act ongoing protests different views country regarding
2,,nan^Entertainment-->bafta nominations nods followed joker leads irishman television arts awards royal albert hall take place graham norton february british academy annou
3,5177,Religion & Spirituality^Entertainment-->word essay sentence wearing helmet traffic police penalize bike riders wear helmets madhya pradesh always ready
4,3260,Religion & Spirituality^Entertainment-->chhattisgarh police release journalist four years journalist santosh yadav three months local government four years
5,1867,News & Politics^Entertainment-->exit funds invested term bonds sanket dhanorkar rbi purchased government bonds bond fund unnatural step operation twist matured throughout years
6,4988,Religion & Spirituality^Entertainment-->deepika padukone months old parents shifted indian beauty deepika padukone
7,"""Here's Presenting popular Children Nursery Story 'Krishna And Kaliya ",Real Estate^Education-->yoga sangama ceremony said sri basavannaja swamiji nest called auspicious properties spyss shri kundagola kalyanapuramath
8,2675,Entertainment^Real Estate-->mouni roy looks stunning shares pictures dubai vacation sharing pictures new year mouni roy loved ones fans
9,2058,Real Estate^Online Services-->many women given tickets bjp women leaders delhi assembly elections com bjp ticket claimants announce candidates also intensified also going
10,"""Business News › News › Politics and Nation ›Winter chill grips north India Winter chill grips north India ET Online and Agencies",Real Estate^Entertainment-->zero temperatures new year himachal pradesh kufri manali dalhousie solan lowest temperature recorded degree zero temperatures new year minus kalpa shivered himachal pradesh
11,3875,Entertainment^Real Estate-->ipl uncapped b parag provides indian premier league team keeping spin option right balance extra leg
12,0,Education^Real Estate-->new delhi january april last year source gave information jsw living forma operations within
13,2481,Click^Entertainment-->satej patil guardian minister politically sensitive state western maharashtra vidarbha guardian minister
14,1262,Entertainment^Entertainment-->ayesha renna controversy murali gopi go home screenwriter murali gopi citizenship law cpm activists
15,4615,Air Travel^Gadgets & Technology-->billionaire boyfriend apply soon every young person aspires rising expenses making girlfriends keep searching good job
16,"""Recruitment Scam: 417 candidates booked for getting proxies to write exam Top Searches: Recruitment Scam: 417 candidates booked for getting proxies to write exam TNN ",Banking & Finance^Banking & Finance-->special tribute martin luther king jr united states third monday every year america commemorates
17,4229,Education^Entertainment-->town celebs take new trending challenge yet another internet trend viral internet challenges bottle cap challenge bollywood celebrities like going viral th stay updated latest trends
18,629,Food & Dining^Religion & Spirituality-->see nris invest would like india steps big way us singapore quatar see nris invest flipboard would like jaishankar jaishankar india steps big way australia surinam
19," Updated: 30 Dec 2019  11:41 AM IST 1/9 Homemade purifier on demand For the past few months Hasan Zaidi's (in pic) phone has been ringing nonstop with calls from desperate residents in Pakistan hoping to get their hands on his newly invented air purifier as smog blankets the country. Tired of choking on putrid air  Zaidi spent six months perfecting his homemade device as he looked for a low-cost solution to battle the increasingly toxic scourge overwhelming Pakistan. AFP 2/9 At a cheaper rate During this winter alone the 31-year-old engineer has already sold some 500 units  which are priced at just 16 000 Pakistani rupees (USD 103)  but admits to refusing hundreds of orders in recent weeks due to lack of manpower and resources. In cash-strapped Pakistan Zaidi's \""Indoor Forest\"" purifiers are cheaper than imported models  which typically cost about two to five times more. AFP 3/9 How many died? In the past five years  air pollution has worsened in Pakistan  as a mixture of low-grade diesel fumes  smoke from seasonal crop burn off  and colder winter temperatures coalesce into stagnant clouds of smog. In 2015  135 000 Pakistanis died due to poor air quality  according to a study published in the scientific journal The Lancet. AFP 4/9 Pollution at its worst in Lahore Pollution tends to be at its worst in the country's eastern province of Punjab during winter  particularly in the 12-million strong city of Lahore near the border with India. In November schools were closed for several days across the province with the level of PM2.5 - tiny particles that get into the bloodstream and vital organs -- repeatedly exceeding 200 micrograms per cubic meter of air. The World Health Organisation's recommended safe daily maximum is a measurement of 25. AFP 5/9 Pollution readings Pakistan is ranked one of the worst countries in the world for air quality and Lahore consistently ranked in the top 10 most smog-hit cities  according to the pollution monitoring site AirVisual. But Tanveer Waraich  director general of the Punjab's environmental agency  dismisses those figures  saying pollution readings cited by monitors and activists are not from \""authentic machines\"". AFP 6/9 Growing public awareness Public awareness about the issue is growing due to increased activism on social media about the dangers of pollution and the dire challenges climate change is bringing to Pakistan. With officials slow to act  ordinary Pakistanis have increasingly taken measures into their own hands. In 2016  Abid Omar launched the website PakistanAirQuality (PAQ) dedicated to compiling data about air pollution in the country and publishing its findings. AFP 7/9 Astonishing revelation According to PAQ  Lahore only experienced \""10 hours\"" of good quality air based on WHO standards during the first eleven months of 2019. Conversely  air quality in the city oscillated between \""bad\"" and \""hazardous\"" for a total of 223 days so far this year. AFP 8/9 Building pressure Pressure on officials is building. Ahmad Rafay Alam (in pic)  one of the few environmental lawyers in Pakistan  filed a suit against the Punjab provincial government on behalf of his daughter and two other teenagers in November  saying officials having underreported the problem. Outside of activism and lawsuits  others are trying to minimise their exposure to the harmful toxins in the air. AFP 9/9 A step to ease the problem In an attempt to improve the situation in Lahore  a group of environmentalists are planning to unveil an eight-metre-high air purifier in attempt to remove harmful particles from the air. Maryam Saeed  one of the designers  says of the device: \""It will help to ease the problem  but it won't change the whole picture.\"" AFP""",Education ^Music and Audio-->deepika padukone starrer january releasing without giving credit lawyer aparna bhat delhi high court deepika padukone starer saturday restrained
20,3677,Automobiles^Entertainment-->including commander chongshan air force base taiwanese military helicopter took helicopter crash yilan county eight people army commander
21,6523,Air Travel^Education-->triple century draws mumbai three points mumbai scored three points uttar pradesh product innings lead best
22,3476,Air Travel^Religion & Spirituality-->operation muskan special operation rare cases operation muskan governments take dgp sawang apara
